Date,AllMedia_Headline,Description,Source_Name,Source_Bias,Source_Headline,Source_Link
"April 24th, 2020",b'Perspectives Trump s Immigration Executive Order',President Donald Trump's executive order suspending some immigration to the United States has raised both praise and criticism. The President and White House say the executive order is aimed at curbing the spread of COVID-19 coronavirus cases. ,Reuters,Center ,"b""Inside Trump's proposal to suspend some legal immigration amid coronavirus crisis""",https://af.reuters.com/article/worldNews/idAFKCN22539S
"April 24th, 2020",b'Perspectives Trump s Immigration Executive Order',President Donald Trump's executive order suspending some immigration to the United States has raised both praise and criticism. The President and White House say the executive order is aimed at curbing the spread of COVID-19 coronavirus cases. ,CNN - Editorial,Left ,"b""Trump's moves on immigration reveal his true motives""",https://www.cnn.com/2020/04/22/opinions/trump-immigration-tweet-denigrates-america-zakaria/index.html
"April 24th, 2020",b'Perspectives Trump s Immigration Executive Order',President Donald Trump's executive order suspending some immigration to the United States has raised both praise and criticism. The President and White House say the executive order is aimed at curbing the spread of COVID-19 coronavirus cases. ,Washington Examiner,Right ,b'Just imagine if Trump had stopped immigration in early February',https://www.washingtonexaminer.com/opinion/just-imagine-if-trump-had-stopped-immigration-in-early-february
"April 21st, 2020",b'Trump Says He Will Issue Order Temporarily Suspending Immigration Into U S',President Trump on Monday said he will sign an executive order to temporarily suspend immigration into the United States amid the coronavirus pandemic in order to protect Americans and American jobs.,Washington Post,Left ,"b'Trump says he will issue order to suspend immigration during coronavirus crisis, closing off the United States to a new extreme'",https://www.washingtonpost.com/immigration/coronavirus-trump-immigration/2020/04/21/a2a465aa-837a-11ea-9728-c74380d9d410_story.html
"April 21st, 2020",b'Trump Says He Will Issue Order Temporarily Suspending Immigration Into U S',President Trump on Monday said he will sign an executive order to temporarily suspend immigration into the United States amid the coronavirus pandemic in order to protect Americans and American jobs.,Reuters,Center ,b'U.S. coronavirus response deepens divide as Trump suspends immigration',https://www.reuters.com/article/us-health-coronavirus-usa/u-s-coronavirus-response-deepens-divide-as-trump-suspends-immigration-idUSKCN2231TU
"April 21st, 2020",b'Trump Says He Will Issue Order Temporarily Suspending Immigration Into U S',President Trump on Monday said he will sign an executive order to temporarily suspend immigration into the United States amid the coronavirus pandemic in order to protect Americans and American jobs.,Fox News (Online),Right ,"b""Trump to 'suspend immigration into the United States' by executive order amid coronavirus""",https://www.foxnews.com/politics/trump-suspend-immigration-executive-order-coronavirus
"February 26th, 2020",b'2nd Circuit Says Trump Administration May Withhold Sanctuary City Funding',"A federal appeals court ruled Wednesday that President Trump's administration may withhold grant money from cities and states that don't abide by immigration enforcement rules. The news was covered more prominently by center- and right-rated outlets, with the Daily Beast being the only left-rated outlet to publish original reporting on the news as of early Wednesday evening. Right-rated outlets generally framed the news as a ""major"" win for Trump.",Fox News (Online),Right ,"b'Court hands Trump win in sanctuary city fight, says administration can deny grant money'",https://www.foxnews.com/politics/court-hands-trump-win-in-sanctuary-city-grant
"February 26th, 2020",b'2nd Circuit Says Trump Administration May Withhold Sanctuary City Funding',"A federal appeals court ruled Wednesday that President Trump's administration may withhold grant money from cities and states that don't abide by immigration enforcement rules. The news was covered more prominently by center- and right-rated outlets, with the Daily Beast being the only left-rated outlet to publish original reporting on the news as of early Wednesday evening. Right-rated outlets generally framed the news as a ""major"" win for Trump.",Axios,Center ,b'Court rules Trump administration can withhold funds from sanctuary cities',https://www.axios.com/court-trump-immigration-sanctuary-cities-565ee05c-46ea-4894-8e1b-52f6a0fde7c8.html
"February 26th, 2020",b'2nd Circuit Says Trump Administration May Withhold Sanctuary City Funding',"A federal appeals court ruled Wednesday that President Trump's administration may withhold grant money from cities and states that don't abide by immigration enforcement rules. The news was covered more prominently by center- and right-rated outlets, with the Daily Beast being the only left-rated outlet to publish original reporting on the news as of early Wednesday evening. Right-rated outlets generally framed the news as a ""major"" win for Trump.",Daily Beast,Left ,b'Trump Administration Can Withhold Grants From \xe2\x80\x98Sanctuary Cities\xe2\x80\x99: Court',https://www.thedailybeast.com/trump-administration-can-withhold-grants-from-sanctuary-cities-court-rules
"February 14th, 2020",b'Trump Admin Diverts 3 8B from Military Funds to Border Wall Construction',"News reports on the Trump administration's decision to divert $3.8 billion from the Pentagon to border wall construction, regardless of political leanings, focused largely on apparent bipartisan congressional disapproval of the move. Many focused on criticism from Rep. Mac Thornberry (R-TX), the top Republican on the House Armed Services Committee.",New York Times (Online News),Left ,b'Administration to Divert Billions From Pentagon to Fund Border Wall',https://www.nytimes.com/2020/02/13/us/politics/border-wall-funds-pentagon.html
"February 14th, 2020",b'Trump Admin Diverts 3 8B from Military Funds to Border Wall Construction',"News reports on the Trump administration's decision to divert $3.8 billion from the Pentagon to border wall construction, regardless of political leanings, focused largely on apparent bipartisan congressional disapproval of the move. Many focused on criticism from Rep. Mac Thornberry (R-TX), the top Republican on the House Armed Services Committee.",Washington Examiner,Right ,"b'Trump\xe2\x80\x99s plan to strip planes, ships, and vehicles from Pentagon budget to fund border wall draws bipartisan howls of protest from Congress'",https://www.washingtonexaminer.com/policy/defense-national-security/trumps-plan-to-strip-planes-ships-and-vehicles-from-pentagon-budget-to-fund-border-wall-draws-bipartisan-howls-of-protest-from-congress
"February 14th, 2020",b'Trump Admin Diverts 3 8B from Military Funds to Border Wall Construction',"News reports on the Trump administration's decision to divert $3.8 billion from the Pentagon to border wall construction, regardless of political leanings, focused largely on apparent bipartisan congressional disapproval of the move. Many focused on criticism from Rep. Mac Thornberry (R-TX), the top Republican on the House Armed Services Committee.",Associated Press,Center ,b'Esper defends shifting defense funds for Trump\xe2\x80\x99s border wall',https://apnews.com/80e3a6eb9a20ffa8f31c02c0529cb53b
"February 1st, 2020",b'Trump Restricts Travel From Six New Countries',"President Donald Trump signed an executive order on Friday that extends his administration's travel ban to six new countries, including Nigeria, Eritrea, Sudan, Tanzania, Kyrgyzstan and Myanmar. Under the ban, citizens from those countries will be barred from obtaining certain types of visas, though they will still be able to visit the US as tourists. The administration has argued that the countries targeted pose a threat because they failed to ""satisfy basic security conditions outlined by America’s law-enforcement and intelligence professionals.""",BBC News,Center ,b'US travel ban: Trump restricts immigration from Nigeria and five other countries',https://www.bbc.com/news/world-us-canada-51335011
"February 1st, 2020",b'Trump Restricts Travel From Six New Countries',"President Donald Trump signed an executive order on Friday that extends his administration's travel ban to six new countries, including Nigeria, Eritrea, Sudan, Tanzania, Kyrgyzstan and Myanmar. Under the ban, citizens from those countries will be barred from obtaining certain types of visas, though they will still be able to visit the US as tourists. The administration has argued that the countries targeted pose a threat because they failed to ""satisfy basic security conditions outlined by America’s law-enforcement and intelligence professionals.""",Washington Times,Right ,b'Trump expands travel ban to six new countries',https://www.washingtontimes.com/news/2020/jan/31/trump-expands-travel-ban-six-new-countries/
"February 1st, 2020",b'Trump Restricts Travel From Six New Countries',"President Donald Trump signed an executive order on Friday that extends his administration's travel ban to six new countries, including Nigeria, Eritrea, Sudan, Tanzania, Kyrgyzstan and Myanmar. Under the ban, citizens from those countries will be barred from obtaining certain types of visas, though they will still be able to visit the US as tourists. The administration has argued that the countries targeted pose a threat because they failed to ""satisfy basic security conditions outlined by America’s law-enforcement and intelligence professionals.""",Al Jazeera,Left ,"b""Trump's expanded travel ban: Which countries are affected?""",https://www.aljazeera.com/news/2020/01/trump-expanded-travel-ban-countries-affected-200131212513800.html
"December 26th, 2019",b'Officials Uncertain on 2021 Goal for Border Wall Completion',"Government officials are raising doubts regarding the completion of a new southern border wall by 2021; acting Customs and Border Protection commissioner Mark Morgan expressed uncertainty about the goal in a recent interview with the New York Times. Building a complete, competent border wall is one of President Donald Trump's core campaign promises.",New York Times (Online News),Left ,b'A Barrier to Trump\xe2\x80\x99s Border Wall: Landowners in Texas',https://www.nytimes.com/2019/12/26/us/politics/trump-border-wall.html
"December 26th, 2019",b'Officials Uncertain on 2021 Goal for Border Wall Completion',"Government officials are raising doubts regarding the completion of a new southern border wall by 2021; acting Customs and Border Protection commissioner Mark Morgan expressed uncertainty about the goal in a recent interview with the New York Times. Building a complete, competent border wall is one of President Donald Trump's core campaign promises.",NPR Online News,Center ,"b""Acquiring Private Land Is Slowing Trump's Border Wall""",https://www.npr.org/2019/12/20/789725311/acquiring-private-land-is-slowing-trumps-border-wall
"December 26th, 2019",b'Officials Uncertain on 2021 Goal for Border Wall Completion',"Government officials are raising doubts regarding the completion of a new southern border wall by 2021; acting Customs and Border Protection commissioner Mark Morgan expressed uncertainty about the goal in a recent interview with the New York Times. Building a complete, competent border wall is one of President Donald Trump's core campaign promises.",National Review,Right ,b'Chief Border Enforcement Official Casts Doubt on Goal to Build Wall by 2021',https://www.nationalreview.com/news/chief-border-enforcement-official-casts-doubt-on-goal-to-build-wall-by-2021/
"December 20th, 2019",b'N Y N J Sign Laws to Let Undocumented Immigrants Apply for Driver s Licenses',"A so-called ""Green Light Law"" allowing people who are in the country illegally to obtain driver's licenses took effect in New York state this week, and New Jersey governor Phil Murphy signed a similar state law into effect Thursday. The N.Y. law also bars federal immigration and border officials from accessing the state's DMV database; the two states are the 14th and 15th to pass such laws.",Vox,Left ,b'New Jersey just became the 15th state to pass a bill letting unauthorized immigrants obtain driver\xe2\x80\x99s licenses',https://www.vox.com/policy-and-politics/2019/12/18/21028348/new-jersey-unauthorized-undocumented-illegal-immigrant-drivers-license-law-murphy-ice-dhs
